district,STATE/UT,DISTRICT,year,BananasPerCapita
1050063,ASSAM,TINSUKIA,2002,1
1050064,BIHAR,ARARIA,2002,5
1050065,BIHAR,AURANGABAD,2002,33
1050066,BIHAR,BANKA,2002,10
1050068,BIHAR,BHABHUA,2002,17
1050069,BIHAR,BHAGALPUR,2002,19
1050072,BIHAR,DARBHANGA,2002,26
1050073,BIHAR,GAYA,2002,26
1050075,BIHAR,JAMUI,2002,21
1050076,BIHAR,JEHANABAD,2002,21
1050077,BIHAR,KATIHAR,2002,5
1050079,BIHAR,KISHANGANJ,2002,5
1050080,BIHAR,LAKHISARAI,2002,4
1050082,BIHAR,MADHUBANI,2002,58
1050083,BIHAR,MUNGER,2002,8
1050084,BIHAR,MUZAFFARPUR,2002,42
1050085,BIHAR,NALANDA,2002,45
1050086,BIHAR,NAWADAH,2002,12
1050090,BIHAR,PURNEA,2002,6
1050091,BIHAR,ROHTAS,2002,52
1050092,BIHAR,SAHARSA,2002,10
1050093,BIHAR,SAMASTIPUR,2002,12
1050094,BIHAR,SARAN,2002,69
1050098,BIHAR,SIWAN,2002,24
1050099,BIHAR,SUPAUL,2002,7
1050100,BIHAR,VAISHALI,2002,65
1050103,CHHATTISGARH,BILASPUR,2002,13
1050104,CHHATTISGARH,DANTEWARA,2002,1
1050105,CHHATTISGARH,DHAMTARI,2002,1
1050106,CHHATTISGARH,DURG,2002,11
1050107,CHHATTISGARH,JANJGIR,2002,13
1050108,CHHATTISGARH,JASHPUR,2002,2
1050109,CHHATTISGARH,KANKER,2002,1
1050111,CHHATTISGARH,KORBA,2002,9
1050112,CHHATTISGARH,KORIYA,2002,1
1050113,CHHATTISGARH,MAHASAMUND,2002,0
1050114,CHHATTISGARH,RAIGARH,2002,4
1050115,CHHATTISGARH,RAIPUR,2002,20
1050116,CHHATTISGARH,RAJNANDGAON,2002,6
1050117,CHHATTISGARH,SARGUJA,2002,1
1050123,GOA,SOUTH GOA,2002,1
1050124,GUJARAT,AHMEDABAD,2002,13
1050146,GUJARAT,AHWA-DANG,2002,0
1050125,GUJARAT,AMRELI,2002,0
1050128,GUJARAT,BHARUCH,2002,0
1050129,GUJARAT,BHAVNAGAR,2002,4
1050130,GUJARAT,DAHOD,2002,0
1050131,GUJARAT,GANDHINAGAR,2002,1
1050132,GUJARAT,JAMNAGAR,2002,5
1050133,GUJARAT,JUNAGADH,2002,2
1050135,GUJARAT,KHEDA NORTH,2002,0
1050134,GUJARAT,KUTCH,2002,2
1050136,GUJARAT,MEHSANA,2002,0
1050137,GUJARAT,NARMADA,2002,0
1050138,GUJARAT,NAVSARI,2002,0
1050140,GUJARAT,PATAN,2002,0
1050141,GUJARAT,PORBANDAR,2002,3
1050142,GUJARAT,RAJKOT,2002,7
1050144,GUJARAT,SURAT,2002,20
1050145,GUJARAT,SURENDRANAGAR,2002,4
1050147,GUJARAT,VADODARA,2002,0
1050148,GUJARAT,VALSAD,2002,0
1050149,HARYANA,AMBALA,2002,7
1050150,HARYANA,BHIWANI,2002,35
1050151,HARYANA,FARIDABAD,2002,19
1050154,HARYANA,HISSAR,2002,28
1050157,HARYANA,KAITHAL,2002,6
1050158,HARYANA,KARNAL,2002,11
1050160,HARYANA,MAHENDRAGARH,2002,3
1050163,HARYANA,REWARI,2002,14
1050164,HARYANA,ROHTAK,2002,17
1050165,HARYANA,SIRSA,2002,7
1050166,HARYANA,SONIPAT,2002,20
1050167,HARYANA,YAMUNANAGAR,2002,9
1050169,HIMACHAL PRADESH,CHAMBA,2002,2
1050171,HIMACHAL PRADESH,KANGRA,2002,2
1050172,HIMACHAL PRADESH,KINNAUR,2002,0
1050173,HIMACHAL PRADESH,KULLU,2002,0
1050174,HIMACHAL PRADESH,LAHAUL-SPITI,2002,0
1050175,HIMACHAL PRADESH,MANDI,2002,2
1050176,HIMACHAL PRADESH,SHIMLA,2002,0
1050177,HIMACHAL PRADESH,SIRMAUR,2002,0
1050178,HIMACHAL PRADESH,SOLAN,2002,0
1050180,JAMMU & KASHMIR,ANANTNAG,2002,0
1050182,JAMMU & KASHMIR,BARAMULLA,2002,0
1050181,JAMMU & KASHMIR,BUDGAM,2002,0
1050183,JAMMU & KASHMIR,DODA,2002,0
1050184,JAMMU & KASHMIR,JAMMU,2002,10
1050185,JAMMU & KASHMIR,KARGIL,2002,0
1050186,JAMMU & KASHMIR,KATHUA,2002,3
1050188,JAMMU & KASHMIR,LEH,2002,0
1050190,JAMMU & KASHMIR,POONCH,2002,0
1050191,JAMMU & KASHMIR,RAJOURI,2002,1
1050192,JAMMU & KASHMIR,SRINAGAR,2002,0
1050193,JAMMU & KASHMIR,UDHAMPUR,2002,4
1050194,JHARKHAND,BOKARO,2002,29
1050195,JHARKHAND,CHATRA,2002,15
1050196,JHARKHAND,DEOGHAR,2002,16
1050197,JHARKHAND,DHANBAD,2002,36
1050198,JHARKHAND,DUMKA,2002,8
1050199,JHARKHAND,GARHWA,2002,14
1050200,JHARKHAND,GIRIDIH,2002,52
1050201,JHARKHAND,GODDA,2002,4
1050202,JHARKHAND,GUMLA,2002,1
1050203,JHARKHAND,HAZARIBAGH,2002,31
1050206,JHARKHAND,LATEHAR,2002,3
1050209,JHARKHAND,PALAMU,2002,24
1050212,JHARKHAND,RANCHI,2002,9
1050213,JHARKHAND,SAHEBGANJ,2002,5
1050214,JHARKHAND,SARAIKELA,2002,3
1050215,JHARKHAND,SIMDEGA,2002,1
1050216,KARNATAKA,BAGALKOT,2002,2
1050217,KARNATAKA,BANGALORE RURAL,2002,35
1050219,KARNATAKA,BELGAUM,2002,7
1050220,KARNATAKA,BELLARY,2002,8
1050221,KARNATAKA,BIDAR,2002,10
1050222,KARNATAKA,BIJAPUR,2002,5
1050223,KARNATAKA,CHAMARAJNAGAR,2002,1
1050224,KARNATAKA,CHICKMAGALUR,2002,3
1050225,KARNATAKA,CHITRADURGA,2002,7
1050226,KARNATAKA,DAKSHIN KANNADA,2002,0
1050227,KARNATAKA,DAVANAGERE,2002,8
1050228,KARNATAKA,DHARWAD,2002,9
1050229,KARNATAKA,GADAG,2002,3
1050230,KARNATAKA,GULBARGA,2002,4
1050231,KARNATAKA,HASSAN,2002,7
1050232,KARNATAKA,HAVERI,2002,4
1050233,KARNATAKA,KODAGU,2002,2
1050234,KARNATAKA,KOLAR,2002,16
1050235,KARNATAKA,KOPPAL,2002,3
1050236,KARNATAKA,MANDYA,2002,14
1050237,KARNATAKA,MYSORE,2002,15
1050238,KARNATAKA,RAICHUR,2002,10
1050239,KARNATAKA,SHIMOGA,2002,4
1050240,KARNATAKA,TUMKUR,2002,16
1050241,KARNATAKA,UDUPI,2002,2
1050242,KARNATAKA,UTTAR KANNADA,2002,1
1050243,KERALA,ALAPUZHA,2002,2
1050245,KERALA,IDUKKI,2002,0
1050246,KERALA,KANNUR,2002,0
1050247,KERALA,KASARGOD,2002,0
1050248,KERALA,KOLLAM,2002,2
1050249,KERALA,KOTTAYAM,2002,0
1050250,KERALA,KOZHIKODE,2002,0
1050251,KERALA,MALAPPURAM,2002,3
1050252,KERALA,PALAKKAD,2002,0
1050253,KERALA,PATHANAMTHITTA,2002,0
1050255,KERALA,THRISSUR,2002,4
1050254,KERALA,TRIVANDRUM,2002,2
1050260,MADHYA PRADESH,BALAGHAT,2002,5
1050261,MADHYA PRADESH,BARWANI,2002,3
1050262,MADHYA PRADESH,BETUL,2002,13
1050263,MADHYA PRADESH,BHIND,2002,36
1050264,MADHYA PRADESH,BHOPAL,2002,16
1050266,MADHYA PRADESH,CHHATARPUR,2002,20
1050267,MADHYA PRADESH,CHHINDWARA,2002,11
1050268,MADHYA PRADESH,DAMOH,2002,31
1050270,MADHYA PRADESH,DEWAS,2002,14
1050271,MADHYA PRADESH,DHAR,2002,53
1050272,MADHYA PRADESH,DINDORI,2002,1
1050274,MADHYA PRADESH,GUNA,2002,12
1050275,MADHYA PRADESH,GWALIOR,2002,18
1050276,MADHYA PRADESH,HARDA,2002,7
1050277,MADHYA PRADESH,HOSHANGABAD,2002,9
1050278,MADHYA PRADESH,INDORE,2002,23
1050279,MADHYA PRADESH,JABALPUR,2002,49
1050280,MADHYA PRADESH,JHABUA,2002,3
1050281,MADHYA PRADESH,KATNI,2002,5
1050282,MADHYA PRADESH,MANDLA,2002,0
1050283,MADHYA PRADESH,MANDSAUR,2002,7
1050284,MADHYA PRADESH,MORENA,2002,28
1050285,MADHYA PRADESH,NARSINGHPUR,2002,23
1050286,MADHYA PRADESH,NEEMUCH,2002,3
1050287,MADHYA PRADESH,PANNA,2002,17
1050288,MADHYA PRADESH,RAISEN,2002,16
1050289,MADHYA PRADESH,RAJGARH,2002,4
1050290,MADHYA PRADESH,RATLAM,2002,7
1050291,MADHYA PRADESH,REWA,2002,26
1050292,MADHYA PRADESH,SAGAR,2002,26
1050293,MADHYA PRADESH,SATNA,2002,37
1050295,MADHYA PRADESH,SEONI,2002,3
1050296,MADHYA PRADESH,SHAHDOL,2002,11
1050297,MADHYA PRADESH,SHAJAPUR,2002,9
1050298,MADHYA PRADESH,SHEOPUR,2002,5
1050299,MADHYA PRADESH,SHIVPURI,2002,6
1050300,MADHYA PRADESH,SIDHI,2002,36
1050294,MADHYA PRADESH,SIHORE,2002,5
1050301,MADHYA PRADESH,TIKAMGARH,2002,20
1050302,MADHYA PRADESH,UJJAIN,2002,9
1050304,MADHYA PRADESH,VIDISHA,2002,8
1050306,MAHARASHTRA,AHMEDNAGAR,2002,8
1050307,MAHARASHTRA,AKOLA,2002,4
1050308,MAHARASHTRA,AMRAVATI,2002,9
1050309,MAHARASHTRA,AURANGABAD,2002,31
1050311,MAHARASHTRA,BEED,2002,2
1050310,MAHARASHTRA,BHANDARA,2002,3
1050312,MAHARASHTRA,BULDHANA,2002,17
1050313,MAHARASHTRA,CHANDRAPUR,2002,3
1050314,MAHARASHTRA,DHULE,2002,7
1050315,MAHARASHTRA,GADCHIROLI,2002,0
1050316,MAHARASHTRA,GONDIA,2002,4
1050318,MAHARASHTRA,HINGOLI,2002,6
1050319,MAHARASHTRA,JALGAON,2002,10
1050320,MAHARASHTRA,JALNA,2002,5
1050321,MAHARASHTRA,KOLHAPUR,2002,20
1050322,MAHARASHTRA,LATUR,2002,5
1050323,MAHARASHTRA,NAGPUR,2002,11
1050324,MAHARASHTRA,NANDED,2002,24
1050325,MAHARASHTRA,NANDURBAR,2002,2
1050326,MAHARASHTRA,NASIK,2002,11
1050327,MAHARASHTRA,OSMANABAD,2002,0
1050328,MAHARASHTRA,PARBHANI,2002,5
1050329,MAHARASHTRA,PUNE COMMR.,2002,9
1050330,MAHARASHTRA,RAIGAD,2002,13
1050331,MAHARASHTRA,RATNAGIRI,2002,0
1050332,MAHARASHTRA,SANGLI,2002,4
1050333,MAHARASHTRA,SATARA,2002,13
1050334,MAHARASHTRA,SINDHUDURG,2002,1
1050335,MAHARASHTRA,SOLAPUR,2002,5
1050336,MAHARASHTRA,THANE,2002,19
1050337,MAHARASHTRA,WARDHA,2002,2
1050338,MAHARASHTRA,WASHIM,2002,9
1050339,MAHARASHTRA,YAVATMAL,2002,17
1050342,MANIPUR,CHURACHANDPUR,2002,0
1050344,MANIPUR,SENAPATI,2002,0
1050345,MANIPUR,TAMENGLONG,2002,0
1050347,MANIPUR,UKHRUL,2002,0
1050349,MEGHALAYA,GARO HILLS EAST,2002,0
1050353,MEGHALAYA,GARO HILLS SOUTH,2002,0
1050354,MEGHALAYA,GARO HILLS WEST,2002,0
1050351,MEGHALAYA,JAINTIA HILLS,2002,0
1050350,MEGHALAYA,KHASI HILLS EAST,2002,0
1050355,MEGHALAYA,KHASI HILLS WEST,2002,0
1050352,MEGHALAYA,RI-BHOI,2002,0
1050356,MIZORAM,AIZAWL,2002,0
1050357,MIZORAM,CHAMPHAI,2002,0
1050358,MIZORAM,KOLASIB,2002,0
1050359,MIZORAM,LAWNGTLAI,2002,0
1050360,MIZORAM,LUNGLEI,2002,0
1050361,MIZORAM,MAMIT,2002,0
1050364,NAGALAND,DIMAPUR,2002,0
1050365,NAGALAND,KOHIMA,2002,0
1050367,NAGALAND,MON,2002,0
1050369,NAGALAND,TUENSANG,2002,0
1050370,NAGALAND,WOKHA,2002,0
1050372,ODISHA,ANGUL,2002,8
1050373,ODISHA,BALASORE,2002,28
1050374,ODISHA,BARAGARH,2002,3
1050376,ODISHA,BOLANGIR,2002,4
1050377,ODISHA,BOUDH,2002,1
1050379,ODISHA,DEOGARH,2002,5
1050380,ODISHA,DHENKANAL,2002,5
1050381,ODISHA,GAJAPATI,2002,0
1050382,ODISHA,GANJAM,2002,21
1050383,ODISHA,JAGATSINGHPUR,2002,8
1050384,ODISHA,JAJPUR,2002,18
1050385,ODISHA,JHARSUGUDA,2002,0
1050386,ODISHA,KALAHANDI,2002,2
1050387,ODISHA,KANDHAMAL,2002,2
1050388,ODISHA,KENDRAPARA,2002,24
1050389,ODISHA,KEONJHAR,2002,4
1050390,ODISHA,KHURDA,2002,19
1050391,ODISHA,KORAPUT,2002,3
1050392,ODISHA,MALKANGIR,2002,3
1050393,ODISHA,MAYURBHANJ,2002,26
1050395,ODISHA,NAYAGARH,2002,8
1050394,ODISHA,NOWRANGPUR,2002,0
1050396,ODISHA,NUAPADA,2002,2
1050397,ODISHA,PURI,2002,23
1050398,ODISHA,RAYAGADA,2002,0
1050399,ODISHA,SAMBALPUR,2002,5
1050400,ODISHA,SONEPUR,2002,0
1050401,ODISHA,SUNDARGARH,2002,4
1050406,PUNJAB,AMRITSAR,2002,9
1050407,PUNJAB,BHATINDA,2002,5
1050408,PUNJAB,FARIDKOT,2002,5
1050409,PUNJAB,FATEHGARH SAHIB,2002,5
1050410,PUNJAB,FEROZEPUR,2002,9
1050411,PUNJAB,GURDASPUR,2002,4
1050412,PUNJAB,HOSHIARPUR,2002,12
1050413,PUNJAB,JALANDHAR,2002,14
1050415,PUNJAB,LUDHIANA,2002,16
1050416,PUNJAB,MANSA,2002,3
1050417,PUNJAB,MOGA,2002,7
1050418,PUNJAB,MUKTSAR,2002,8
1050420,PUNJAB,PATIALA,2002,14
1050421,PUNJAB,ROPAR,2002,6
1050422,PUNJAB,SANGRUR,2002,6
1050423,RAJASTHAN,AJMER,2002,23
1050424,RAJASTHAN,ALWAR,2002,42
1050425,RAJASTHAN,BANSWARA,2002,10
1050426,RAJASTHAN,BARAN,2002,6
1050427,RAJASTHAN,BARMER,2002,8
1050428,RAJASTHAN,BHARATPUR,2002,27
1050429,RAJASTHAN,BHILWARA,2002,4
1050430,RAJASTHAN,BIKANER,2002,13
1050431,RAJASTHAN,BUNDI,2002,7
1050432,RAJASTHAN,CHITTORGARH,2002,7
1050433,RAJASTHAN,CHURU,2002,8
1050434,RAJASTHAN,DAUSA,2002,5
1050435,RAJASTHAN,DHOLPUR,2002,25
1050436,RAJASTHAN,DUNGARPUR,2002,4
1050437,RAJASTHAN,GANGANAGAR,2002,19
1050438,RAJASTHAN,HANUMANGARH,2002,19
1050439,RAJASTHAN,JAIPUR,2002,32
1050440,RAJASTHAN,JAISALMER,2002,5
1050441,RAJASTHAN,JALORE,2002,10
1050442,RAJASTHAN,JHALAWAR,2002,7
1050443,RAJASTHAN,JHUNJHUNU,2002,15
1050444,RAJASTHAN,JODHPUR,2002,17
1050445,RAJASTHAN,KARAULI,2002,15
1050446,RAJASTHAN,KOTA,2002,6
1050447,RAJASTHAN,NAGAUR,2002,14
1050448,RAJASTHAN,PALI,2002,14
1050449,RAJASTHAN,RAJSAMAND,2002,7
1050450,RAJASTHAN,SAWAI MADHOPUR,2002,2
1050451,RAJASTHAN,SIKAR,2002,10
1050452,RAJASTHAN,SIROHI,2002,3
1050453,RAJASTHAN,TONK,2002,1
1050454,RAJASTHAN,UDAIPUR,2002,12
1050455,SIKKIM,EAST,2002,0
1050456,SIKKIM,NORTH,2002,0
1050458,SIKKIM,WEST,2002,0
1050461,TAMIL NADU,COIMBATORE,2002,28
1050462,TAMIL NADU,CUDDALORE,2002,10
1050463,TAMIL NADU,DHARMAPURI,2002,14
1050464,TAMIL NADU,DINDIGUL,2002,2
1050465,TAMIL NADU,ERODE,2002,3
1050466,TAMIL NADU,KANCHIPURAM,2002,9
1050467,TAMIL NADU,KANYAKUMARI,2002,4
1050468,TAMIL NADU,KARUR,2002,1
1050469,TAMIL NADU,MADURAI,2002,14
1050470,TAMIL NADU,NAGAPATTINAM,2002,7
1050471,TAMIL NADU,NAMAKKAL,2002,3
1050472,TAMIL NADU,NILGIRIS,2002,0
1050473,TAMIL NADU,PERAMBALUR,2002,4
1050474,TAMIL NADU,PUDUKOTTAI,2002,4
1050475,TAMIL NADU,RAMNATHAPURAM,2002,5
1050476,TAMIL NADU,SALEM,2002,8
1050477,TAMIL NADU,SIVAGANGAI,2002,3
1050478,TAMIL NADU,THANJAVUR,2002,1
1050479,TAMIL NADU,THENI,2002,4
1050484,TAMIL NADU,THIRUNELVELI,2002,9
1050480,TAMIL NADU,THIRUVALLUR,2002,7
1050485,TAMIL NADU,THIRUVANNAMALAI,2002,9
1050481,TAMIL NADU,THIRUVARUR,2002,5
1050482,TAMIL NADU,THOOTHUGUDI,2002,4
1050486,TAMIL NADU,VELLORE,2002,13
1050487,TAMIL NADU,VILLUPURAM,2002,3
1050489,TRIPURA,DHALAI,2002,2
1050490,TRIPURA,NORTH,2002,2
1050491,TRIPURA,SOUTH,2002,4
1050492,TRIPURA,WEST,2002,8
1050493,UTTAR PRADESH,AGRA,2002,50
1050495,UTTAR PRADESH,ALLAHABAD,2002,63
1050496,UTTAR PRADESH,AMBEDKAR NAGAR,2002,16
1050498,UTTAR PRADESH,AZAMGARH,2002,23
1050499,UTTAR PRADESH,BADAUN,2002,44
1050500,UTTAR PRADESH,BAGHPAT,2002,17
1050501,UTTAR PRADESH,BAHRAICH,2002,16
1050502,UTTAR PRADESH,BALLIA,2002,16
1050503,UTTAR PRADESH,BALRAMPUR,2002,5
1050504,UTTAR PRADESH,BANDA,2002,21
1050505,UTTAR PRADESH,BARABANKI,2002,27
1050506,UTTAR PRADESH,BAREILLY,2002,62
1050507,UTTAR PRADESH,BASTI,2002,24
1050508,UTTAR PRADESH,BIJNOR,2002,34
1050509,UTTAR PRADESH,BULANDSHAHAR,2002,47
1050510,UTTAR PRADESH,CHANDOLI,2002,14
1050511,UTTAR PRADESH,CHITRAKOOT DHAM,2002,9
1050512,UTTAR PRADESH,DEORIA,2002,15
1050513,UTTAR PRADESH,ETAH,2002,81
1050514,UTTAR PRADESH,ETAWAH,2002,25
1050517,UTTAR PRADESH,FATEHPUR,2002,26
1050518,UTTAR PRADESH,FIROZABAD,2002,36
1050520,UTTAR PRADESH,GHAZIABAD,2002,21
1050521,UTTAR PRADESH,GHAZIPUR,2002,14
1050522,UTTAR PRADESH,GONDA,2002,29
1050523,UTTAR PRADESH,GORAKHPUR,2002,30
1050524,UTTAR PRADESH,HAMIRPUR,2002,17
1050525,UTTAR PRADESH,HARDOI,2002,26
1050526,UTTAR PRADESH,HATHRAS,2002,21
1050530,UTTAR PRADESH,J.P.NAGAR,2002,10
1050527,UTTAR PRADESH,JALAUN,2002,22
1050528,UTTAR PRADESH,JAUNPUR,2002,23
1050529,UTTAR PRADESH,JHANSI,2002,14
1050531,UTTAR PRADESH,KANNAUJ,2002,15
1050535,UTTAR PRADESH,KUSHI NAGAR,2002,18
1050537,UTTAR PRADESH,LALITPUR,2002,9
1050538,UTTAR PRADESH,LUCKNOW,2002,59
1050539,UTTAR PRADESH,MAHARAJGANJ,2002,6
1050540,UTTAR PRADESH,MAHOBA,2002,13
1050541,UTTAR PRADESH,MAINPURI,2002,42
1050542,UTTAR PRADESH,MATHURA,2002,29
1050545,UTTAR PRADESH,MIRZAPUR,2002,15
1050546,UTTAR PRADESH,MORADABAD,2002,35
1050547,UTTAR PRADESH,MUZAFFARNAGAR,2002,37
1050548,UTTAR PRADESH,PILIBHIT,2002,33
1050549,UTTAR PRADESH,PRATAPGARH,2002,27
1050550,UTTAR PRADESH,RAIBAREILLY,2002,26
1050552,UTTAR PRADESH,SAHARANPUR,2002,24
1050555,UTTAR PRADESH,SHAHJAHANPUR,2002,49
1050556,UTTAR PRADESH,SHRAWASTI,2002,3
1050557,UTTAR PRADESH,SIDHARTHNAGAR,2002,6
1050558,UTTAR PRADESH,SITAPUR,2002,83
1050559,UTTAR PRADESH,SONBHADRA,2002,8
1050560,UTTAR PRADESH,SULTANPUR,2002,20
1050561,UTTAR PRADESH,UNNAO,2002,57
1050562,UTTAR PRADESH,VARANASI,2002,34
1050563,UTTARAKHAND,ALMORA,2002,11
1050565,UTTARAKHAND,CHAMOLI,2002,5
1050567,UTTARAKHAND,DEHRADUN,2002,5
1050568,UTTARAKHAND,HARIDWAR,2002,11
1050569,UTTARAKHAND,NAINITAL,2002,5
1050570,UTTARAKHAND,PAURI GARHWAL,2002,5
1050571,UTTARAKHAND,PITHORAGARH,2002,3
1050573,UTTARAKHAND,TEHRI GARHWAL,2002,3
1050575,UTTARAKHAND,UTTARKASHI,2002,0
1050590,WEST BENGAL,24 PARGANAS NORTH,2002,29
1050592,WEST BENGAL,24 PARGANAS SOUTH,2002,53
1050576,WEST BENGAL,BANKURA,2002,20
1050578,WEST BENGAL,BIRBHUM,2002,1
1050577,WEST BENGAL,BURDWAN,2002,21
1050585,WEST BENGAL,COOCHBEHAR,2002,5
1050580,WEST BENGAL,DARJEELING,2002,1
1050583,WEST BENGAL,HOOGHLY,2002,5
1050584,WEST BENGAL,JALPAIGURI,2002,3
1050587,WEST BENGAL,MALDA,2002,5
1050594,WEST BENGAL,PASCHIM MIDNAPUR,2002,22
1050581,WEST BENGAL,PURAB MIDNAPUR,2002,39
1050588,WEST BENGAL,MURSHIDABAD,2002,8
1050589,WEST BENGAL,NADIA,2002,13
1050591,WEST BENGAL,PURULIA,2002,4
1050593,WEST BENGAL,UTTAR DINAJPUR,2002,10
1050121,DELHI,DELHI UT TOTAL,2002,135
1050257,LAKSHADWEEP,LAKSHADWEEP,2002,0
1050003,ANDHRA PRADESH,ADILABAD,2003,11
1050004,ANDHRA PRADESH,ANANTAPUR,2003,4
1050005,ANDHRA PRADESH,CHITTOOR,2003,23
1050006,ANDHRA PRADESH,CUDDAPAH,2003,5
1050007,ANDHRA PRADESH,EAST GODAVARI,2003,11
1050008,ANDHRA PRADESH,GUNTUR,2003,22
1050010,ANDHRA PRADESH,KARIMNAGAR,2003,53
1050011,ANDHRA PRADESH,KHAMMAM,2003,17
1050012,ANDHRA PRADESH,KRISHNA,2003,20
1050013,ANDHRA PRADESH,KURNOOL,2003,11
1050014,ANDHRA PRADESH,MAHABOOBNAGAR,2003,19
1050015,ANDHRA PRADESH,MEDAK,2003,44
1050016,ANDHRA PRADESH,NALGONDA,2003,33
1050017,ANDHRA PRADESH,NELLORE,2003,10
1050018,ANDHRA PRADESH,NIZAMABAD,2003,11
1050019,ANDHRA PRADESH,PRAKASHAM,2003,13
1050020,ANDHRA PRADESH,RANGA REDDY,2003,12
1050021,ANDHRA PRADESH,SRIKAKULAM,2003,7
1050022,ANDHRA PRADESH,VISAKHAPATNAM,2003,3
1050023,ANDHRA PRADESH,VIZIANAGARAM,2003,4
1050024,ANDHRA PRADESH,WARANGAL,2003,35
1050025,ANDHRA PRADESH,WEST GODAVARI,2003,21
1050031,ARUNACHAL PRADESH,DIBANG VALLEY,2003,0
1050036,ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2003,0
1050027,ARUNACHAL PRADESH,KAMENG EAST,2003,0
1050039,ARUNACHAL PRADESH,KAMENG WEST,2003,0
1050030,ARUNACHAL PRADESH,LOHIT,2003,0
1050033,ARUNACHAL PRADESH,PAPUM PARE,2003,0
1050028,ARUNACHAL PRADESH,SIANG EAST,2003,0
1050037,ARUNACHAL PRADESH,SIANG UPPER,2003,0
1050040,ARUNACHAL PRADESH,SIANG WEST,2003,0
1050032,ARUNACHAL PRADESH,SUBANSIRI LOWER,2003,0
1050038,ARUNACHAL PRADESH,SUBANSIRI UPPER,2003,0
1050034,ARUNACHAL PRADESH,TAWANG,2003,0
1050041,ASSAM,BARPETA,2003,6
1050042,ASSAM,BONGAIGAON,2003,6
1050043,ASSAM,CACHAR,2003,3
1050044,ASSAM,DARRANG,2003,7
1050046,ASSAM,DHUBRI,2003,6
1050047,ASSAM,DIBRUGARH,2003,0
1050049,ASSAM,GOLAGHAT,2003,0
1050051,ASSAM,JORHAT,2003,0
1050052,ASSAM,KAMRUP,2003,0
1050053,ASSAM,KARBI ANGLONG,2003,0
1050055,ASSAM,KOKRAJHAR,2003,2
1050056,ASSAM,LAKHIMPUR,2003,0
1050057,ASSAM,MORIGAON,2003,1
1050060,ASSAM,N.C.HILLS,2003,0
1050058,ASSAM,NAGAON,2003,7
1050061,ASSAM,SIBSAGAR,2003,4
1050062,ASSAM,SONITPUR,2003,3
1050063,ASSAM,TINSUKIA,2003,2
1050064,BIHAR,ARARIA,2003,13
1050065,BIHAR,AURANGABAD,2003,25
1050066,BIHAR,BANKA,2003,19
1050068,BIHAR,BHABHUA,2003,21
1050069,BIHAR,BHAGALPUR,2003,13
1050072,BIHAR,DARBHANGA,2003,19
1050073,BIHAR,GAYA,2003,37
1050075,BIHAR,JAMUI,2003,11
1050076,BIHAR,JEHANABAD,2003,16
1050077,BIHAR,KATIHAR,2003,9
1050079,BIHAR,KISHANGANJ,2003,5
1050080,BIHAR,LAKHISARAI,2003,10
1050082,BIHAR,MADHUBANI,2003,20
1050083,BIHAR,MUNGER,2003,6
1050084,BIHAR,MUZAFFARPUR,2003,63
1050085,BIHAR,NALANDA,2003,49
1050086,BIHAR,NAWADAH,2003,19
1050090,BIHAR,PURNEA,2003,13
1050091,BIHAR,ROHTAS,2003,28
1050092,BIHAR,SAHARSA,2003,13
1050093,BIHAR,SAMASTIPUR,2003,18
1050094,BIHAR,SARAN,2003,65
1050098,BIHAR,SIWAN,2003,32
1050099,BIHAR,SUPAUL,2003,6
1050100,BIHAR,VAISHALI,2003,69
1050103,CHHATTISGARH,BILASPUR,2003,18
1050104,CHHATTISGARH,DANTEWARA,2003,0
1050105,CHHATTISGARH,DHAMTARI,2003,3
1050106,CHHATTISGARH,DURG,2003,13
1050107,CHHATTISGARH,JANJGIR,2003,3
1050108,CHHATTISGARH,JASHPUR,2003,0
1050109,CHHATTISGARH,KANKER,2003,0
1050111,CHHATTISGARH,KORBA,2003,4
1050112,CHHATTISGARH,KORIYA,2003,0
1050113,CHHATTISGARH,MAHASAMUND,2003,2
1050114,CHHATTISGARH,RAIGARH,2003,2
1050115,CHHATTISGARH,RAIPUR,2003,15
1050116,CHHATTISGARH,RAJNANDGAON,2003,13
1050117,CHHATTISGARH,SARGUJA,2003,2
1050123,GOA,SOUTH GOA,2003,1
1050124,GUJARAT,AHMEDABAD,2003,4
1050146,GUJARAT,AHWA-DANG,2003,0
1050125,GUJARAT,AMRELI,2003,0
1050128,GUJARAT,BHARUCH,2003,0
1050129,GUJARAT,BHAVNAGAR,2003,6
1050130,GUJARAT,DAHOD,2003,0
1050131,GUJARAT,GANDHINAGAR,2003,2
1050132,GUJARAT,JAMNAGAR,2003,0
1050133,GUJARAT,JUNAGADH,2003,6
1050135,GUJARAT,KHEDA NORTH,2003,0
1050134,GUJARAT,KUTCH,2003,0
1050136,GUJARAT,MEHSANA,2003,0
1050137,GUJARAT,NARMADA,2003,0
1050138,GUJARAT,NAVSARI,2003,0
1050140,GUJARAT,PATAN,2003,0
1050141,GUJARAT,PORBANDAR,2003,0
1050142,GUJARAT,RAJKOT,2003,9
1050144,GUJARAT,SURAT,2003,19
1050145,GUJARAT,SURENDRANAGAR,2003,6
1050147,GUJARAT,VADODARA,2003,0
1050148,GUJARAT,VALSAD,2003,0
